40
2
1
3
r
0.5


======Generated Graph======

Num_Nodes = 40
initial node = 1
end node = 3
========== EDGES ==========
0,2,[2, 1, 2],8390658.0
0,3,[6, 2, 3],25169923.0
0,4,[1, 2, 1],4198401.0
0,5,[3, 1, 5],12584965.0
0,7,[6, 6, 3],25178115.0
0,8,[2, 6, 6],8400902.0
0,10,[6, 4, 2],25174018.0
0,12,[3, 1, 3],12584963.0
0,16,[2, 4, 5],8396805.0
0,17,[4, 4, 4],16785412.0
0,20,[5, 1, 1],20973569.0
0,21,[6, 5, 2],25176066.0
0,24,[4, 4, 4],16785412.0
0,25,[6, 3, 3],25171971.0
0,26,[4, 5, 4],16787460.0
0,27,[5, 1, 3],20973571.0
0,29,[3, 3, 4],12589060.0
0,31,[2, 3, 6],8394758.0
0,33,[6, 1, 3],25167875.0
0,34,[5, 1, 2],20973570.0
1,2,[6, 2, 5],25169925.0
1,10,[3, 1, 6],12584966.0
1,12,[4, 6, 1],16789505.0
1,13,[5, 1, 3],20973571.0
1,15,[3, 2, 2],12587010.0
1,16,[4, 6, 1],16789505.0
1,17,[4, 4, 6],16785414.0
1,18,[1, 2, 2],4198402.0
1,21,[5, 2, 1],20975617.0
1,22,[1, 5, 4],4204548.0
1,31,[6, 6, 3],25178115.0
1,32,[2, 3, 3],8394755.0
1,33,[3, 3, 1],12589057.0
1,35,[1, 5, 5],4204549.0
1,37,[2, 2, 1],8392705.0
2,3,[3, 2, 5],12587013.0
2,4,[3, 1, 5],12584965.0
2,8,[1, 6, 6],4206598.0
2,15,[3, 3, 2],12589058.0
2,17,[4, 6, 4],16789508.0
2,20,[6, 5, 6],25176070.0
2,21,[4, 3, 5],16783365.0
2,22,[4, 1, 6],16779270.0
2,26,[4, 1, 3],16779267.0
2,27,[5, 3, 6],20977670.0
2,28,[5, 6, 1],20983809.0
2,29,[6, 4, 5],25174021.0
2,30,[4, 3, 5],16783365.0
2,31,[1, 1, 1],4196353.0
2,33,[4, 3, 6],16783366.0
2,34,[6, 5, 6],25176070.0
2,36,[5, 5, 5],20981765.0
2,37,[4, 1, 2],16779266.0
3,4,[1, 2, 2],4198402.0
3,7,[6, 6, 3],25178115.0
3,8,[4, 2, 2],16781314.0
3,9,[4, 2, 3],16781315.0
3,13,[5, 2, 1],20975617.0
3,14,[5, 4, 4],20979716.0
3,15,[6, 3, 3],25171971.0
3,17,[2, 5, 2],8398850.0
3,19,[6, 5, 4],25176068.0
3,21,[2, 1, 6],8390662.0
3,22,[2, 1, 1],8390657.0
3,23,[4, 6, 3],16789507.0
3,24,[2, 2, 3],8392707.0
3,25,[5, 1, 5],20973573.0
3,26,[5, 4, 5],20979717.0
3,35,[5, 2, 5],20975621.0
3,36,[1, 6, 6],4206598.0
3,38,[2, 2, 3],8392707.0
3,39,[5, 5, 5],20981765.0
4,5,[4, 5, 4],16787460.0
4,8,[1, 6, 1],4206593.0
4,9,[4, 1, 2],16779266.0
4,10,[1, 4, 4],4202500.0
4,13,[2, 4, 2],8396802.0
4,14,[1, 3, 4],4200452.0
4,17,[6, 3, 5],25171973.0
4,23,[5, 1, 6],20973574.0
4,24,[2, 3, 2],8394754.0
4,25,[2, 1, 3],8390659.0
4,27,[6, 5, 6],25176070.0
4,29,[3, 3, 1],12589057.0
4,39,[3, 5, 6],12593158.0
5,8,[4, 1, 5],16779269.0
5,11,[4, 6, 4],16789508.0
5,13,[6, 5, 6],25176070.0
5,15,[6, 6, 6],25178118.0
5,16,[3, 3, 1],12589057.0
5,17,[1, 5, 5],4204549.0
5,19,[4, 6, 5],16789509.0
5,20,[3, 4, 1],12591105.0
5,21,[6, 6, 6],25178118.0
5,22,[2, 1, 2],8390658.0
5,25,[5, 5, 5],20981765.0
5,26,[1, 3, 2],4200450.0
5,32,[2, 5, 5],8398853.0
5,33,[5, 4, 6],20979718.0
5,35,[3, 1, 1],12584961.0
5,36,[5, 2, 5],20975621.0
5,37,[2, 4, 1],8396801.0
5,38,[4, 6, 3],16789507.0
5,39,[3, 3, 1],12589057.0
6,8,[3, 3, 2],12589058.0
6,9,[6, 3, 1],25171969.0
6,10,[4, 1, 1],16779265.0
6,12,[6, 3, 2],25171970.0
6,13,[3, 2, 6],12587014.0
6,14,[2, 5, 4],8398852.0
6,15,[6, 1, 2],25167874.0
6,22,[4, 2, 4],16781316.0
6,24,[1, 5, 4],4204548.0
6,25,[4, 4, 6],16785414.0
6,28,[1, 5, 4],4204548.0
6,29,[2, 2, 6],8392710.0
6,30,[4, 6, 4],16789508.0
6,32,[3, 5, 5],12593157.0
6,34,[4, 4, 4],16785412.0
6,36,[6, 5, 1],25176065.0
6,37,[5, 6, 2],20983810.0
6,39,[6, 4, 3],25174019.0
7,11,[6, 6, 2],25178114.0
7,12,[4, 3, 4],16783364.0
7,15,[4, 1, 5],16779269.0
7,16,[4, 1, 6],16779270.0
7,17,[1, 6, 4],4206596.0
7,18,[2, 5, 5],8398853.0
7,19,[2, 1, 1],8390657.0
7,20,[3, 1, 4],12584964.0
7,21,[4, 6, 3],16789507.0
7,25,[1, 3, 2],4200450.0
7,26,[2, 2, 3],8392707.0
7,28,[2, 5, 1],8398849.0
7,29,[2, 1, 4],8390660.0
7,30,[3, 3, 6],12589062.0
7,35,[2, 1, 4],8390660.0
7,37,[3, 4, 5],12591109.0
7,38,[1, 3, 3],4200451.0
7,39,[3, 4, 1],12591105.0
8,9,[3, 4, 1],12591105.0
8,13,[5, 3, 1],20977665.0
8,16,[2, 6, 5],8400901.0
8,17,[1, 4, 5],4202501.0
8,18,[4, 4, 4],16785412.0
8,19,[1, 3, 6],4200454.0
8,21,[5, 1, 2],20973570.0
8,26,[4, 5, 5],16787461.0
